,Human_ABCD1_1,Human_ABCD1_2,Human_ABCD1_3,Human_NT_1,Human_NT_2,Human_NT_3
PHF3,2906.02,3074.927,3135.961,2097.339,2415.549,2410.588
EYS,142.678,143.586,180.302,51.956,57.655,40.769
RP11-59D5__B.3,4.603,4.867,4.6,0.0,0.0,0.0
RP11-59D5__B.2,19.331,14.602,27.597,23.327,15.905,17.349
GCNT1P4,1.841,0.0,0.92,0.0,0.0,0.0
RP11-74E24.2,2.762,4.867,13.799,0.0,7.952,13.011
NUFIP1P,5.523,2.434,0.0,2.121,0.994,0.0
RP11-301G19.2,0.0,0.0,0.0,2.121,0.0,0.0
ADGRB3,1.841,0.0,0.0,0.0,0.0,0.0
LMBRD1,393.054,417.372,375.322,310.678,316.109,336.563
RP13-371D18.2,15.649,4.867,11.959,2.121,8.946,6.072
GAPDHP42,11.046,8.518,5.519,1.06,2.982,8.674
COL9A1,0.0,0.0,0.0,4.241,0.0,0.0
RP11-462G2.1,0.0,0.0,0.0,1.06,1.988,3.47
RP11-462G2.2,0.0,0.0,0.92,1.06,0.0,1.735
FAM135A,568.869,571.91,646.694,225.851,253.483,206.448
SDHAF4,81.004,127.767,113.148,139.964,137.179,143.126
RP11-134K13.4,0.0,0.0,0.0,2.121,0.0,0.0
RP11-134K13.2,87.448,77.877,77.272,54.077,42.744,44.239
SMAP1,273.389,284.738,352.324,242.816,237.579,209.918
RP11-160A9.3,10.126,7.301,1.84,4.241,5.964,3.47
RP11-160A9.2,8.285,2.434,5.519,0.0,1.988,1.735
B3GAT2,13.808,13.385,19.318,6.362,11.929,15.614
RP11-789A7.1,11.967,20.686,24.837,26.508,31.81,16.481
RP11-154D6.1,62.594,52.324,102.11,28.629,26.839,43.372
RP11-154D6.2,9.205,2.434,5.519,0.0,0.0,0.0
OGFRL1,640.668,664.389,727.646,1708.197,1827.069,1943.043
RP3-331H24.4,11.046,2.434,2.76,2.121,4.97,0.0
LINC00472,671.045,483.081,577.701,429.435,430.425,431.113
RP3-331H24.7,189.623,183.741,190.421,144.205,122.269,163.077
MIR30C2,11.967,6.084,15.638,4.241,1.988,8.674
RP3-331H24.6,340.585,279.871,296.21,163.291,205.769,193.437
MIR30A,14.728,8.518,9.199,10.603,7.952,2.602
KRT19P1,0.0,0.0,0.0,0.0,0.0,0.867
RIMS1,44.184,55.974,57.954,71.042,73.56,78.936
RP5-1046G13.2,0.0,0.0,0.0,2.121,1.988,0.0
KCNQ5,0.0,0.0,0.0,0.0,0.994,0.0
KHDC1,15.649,21.903,12.879,23.327,28.828,28.625
RP11-398K22.12,32.218,31.638,38.636,20.146,22.863,14.746
RP11-398K22.9,23.933,10.951,22.078,6.362,2.982,10.409
RP11-398K22.6,0.0,2.434,0.0,0.0,0.0,0.0
OOEP,0.0,0.0,1.84,0.0,0.0,3.47
RP11-398K22.14,0.0,1.217,0.0,0.0,0.0,0.0
RPL39P3,175.816,184.958,195.02,199.343,194.834,186.497
RPS6P8,0.0,0.0,0.0,2.121,0.0,0.0
DDX43,13.808,20.686,27.597,26.508,10.935,13.879
MB21D1,78.243,68.142,67.153,76.344,86.483,66.792
MTO1,527.447,557.308,542.745,607.571,546.729,588.118
RNU6-975P,1.841,0.0,0.0,1.06,0.0,0.867
RN7SL827P,0.0,0.0,0.92,0.0,0.0,0.0
RP11-505P4.6,2.762,0.0,0.0,2.121,0.994,4.337
EEF1A1,154954.284,169980.052,160645.075,149873.849,155669.678,154355.702
RP11-505P4.7,0.921,0.0,1.84,0.0,0.994,3.47
SLC17A5,378.326,304.207,376.242,791.009,780.332,743.388
RPS27P15,0.921,2.434,0.0,2.121,0.0,1.735
RP11-553A21.3,84.686,114.382,84.631,20.146,41.75,44.239
CD109,9022.745,10554.774,10335.147,6453.188,7381.837,7704.513
RP11-374N7.2,1.841,0.0,0.0,0.0,0.0,0.0
RP11-554D15.1,0.0,0.0,1.84,2.121,9.941,13.011
RP11-9G10.1,0.0,0.0,0.0,0.0,3.976,4.337
RP11-554D15.3,0.0,0.0,0.0,2.121,2.982,12.144
RP11-554D15.2,0.0,0.0,0.0,2.121,0.0,2.602
RP11-554D15.4,0.921,0.0,0.0,4.241,1.988,3.47
RP11-560O20.1,0.0,0.0,0.0,4.241,0.0,6.939
COL12A1,6737.143,7547.99,7654.54,4530.804,5647.215,5206.315
COX7A2,1667.947,1834.978,1534.404,2160.959,2051.725,2113.927
TMEM30A,10557.22,12307.008,11724.206,5501.008,6094.538,6180.439
RP1-234P15.4,13.808,14.602,13.799,15.905,10.935,13.879
FILIP1,85.607,83.961,84.631,80.585,99.405,107.561
HMGB1P39,0.0,0.0,0.92,0.0,0.0,1.735
RP11-415D17.3,1.841,1.217,0.0,0.0,0.0,0.0
RP11-415D17.1,0.0,0.0,0.0,0.0,0.0,1.735
SENP6,1922.925,1959.095,1869.25,2018.874,2094.469,2346.398
RP11-474L11.5,34.059,13.385,18.398,34.991,26.839,31.227
RNU6-1016P,11.046,26.77,10.119,21.207,17.893,24.288
RN7SKP163,10.126,4.867,4.6,4.241,2.982,6.939
MYO6,1641.252,1831.328,1789.218,1077.298,1163.042,1274.255
RNU6-155P,1.841,1.217,1.84,0.0,1.988,1.735
RNA5SP209,3.682,0.0,0.0,4.241,0.0,1.735
IMPG1,11.046,21.903,7.359,26.508,18.887,19.083
RP11-354K4.1,0.0,0.0,1.84,0.0,5.964,2.602
RP11-354K4.2,1.841,4.867,5.519,4.241,1.988,5.205
RP11-274E6.1,6.444,18.252,11.039,8.483,8.946,5.205
HTR1B,1411.127,1441.942,1479.209,1913.901,1895.659,1948.248
RPS6P7,23.933,9.735,35.876,3.181,5.964,7.807
MEI4,11.046,10.951,3.68,6.362,4.97,7.807
RP3-390M24.1,12.887,13.385,11.039,6.362,5.964,4.337
RP11-173D14.3,1.841,0.0,3.68,1.06,0.0,0.0
IRAK1BP1,184.1,232.414,238.256,190.86,222.668,221.195
PHIP,2325.184,2436.092,2372.438,1322.235,1451.317,1458.15
RP11-477E3.2,14.728,15.819,9.199,2.121,6.958,1.735
HMGN3,1305.27,1451.677,1449.772,485.633,489.074,551.685
RP11-46B11.5,60.753,54.757,52.435,33.931,27.833,48.576
RP11-46B11.2,0.0,2.434,1.84,0.0,0.0,0.0
RP3-508D13.1,1.841,0.0,0.0,0.0,0.0,0.0
LCA5,321.255,322.46,342.205,183.438,235.591,209.051
RP11-342L8.2,12.887,9.735,3.68,6.362,5.964,5.205
RP11-177G23.2,4.603,8.518,9.199,1.06,0.0,3.47
RP11-177G23.1,24.854,21.903,22.078,3.181,13.917,22.553
SH3BGRL2,463.012,519.586,449.834,977.627,889.677,898.657
ELOVL4,242.092,181.308,251.134,94.37,119.286,109.296
RP3-357D13.1,0.921,0.0,1.84,0.0,0.0,0.0
TTK,22.092,20.686,23.918,222.67,239.567,234.206
RP11-296E7.1,83.766,85.178,91.991,108.154,102.387,111.898
BCKDHB,272.468,302.99,238.256,214.187,264.418,189.967
RP11-250B2.6,1.841,21.903,9.199,8.483,9.941,8.674
RPL17P25,9.205,8.518,14.719,2.121,5.964,4.337
RP11-250B2.4,5.523,8.518,18.398,8.483,5.964,9.542
RP11-250B2.3,12.887,10.951,22.078,11.664,12.923,6.939
RP11-250B2.5,9.205,7.301,11.039,10.603,3.976,11.277
RP11-250B2.2,1.841,3.65,2.76,2.121,0.994,1.735
FAM46A,45.105,31.638,30.357,127.24,154.078,133.584
RP11-244G12.1,1.841,0.0,0.0,0.0,3.976,0.0
IBTK,2257.067,2454.344,2332.882,1779.239,2031.844,1956.055
RNU6-130P,5.523,6.084,10.119,2.121,5.964,2.602
TPBG,118.745,107.081,128.787,81.646,61.631,54.648
UBE3D,166.611,141.152,148.105,129.361,123.263,85.876
RP11-445L13__B.1,0.0,2.434,0.0,1.06,0.0,1.735
RP11-445L13__B.3,3.682,4.867,7.359,2.121,0.994,6.072
DOPEY1,1467.278,1570.926,1462.651,502.598,529.83,532.602
PGM3,1248.199,1244.816,1125.045,1592.62,1650.128,1695.826
RWDD2A,177.657,186.175,185.821,192.981,217.698,217.725
ME1,941.672,1017.269,958.542,419.892,446.33,460.605
RP11-378G13.2,11.046,13.385,14.719,4.241,6.958,12.144
PRSS35,3.682,2.434,0.0,0.0,0.0,0.0
SNAP91,11.046,3.65,11.039,4.241,6.958,4.337
CYB5R4,595.564,585.295,652.214,599.088,636.194,672.258
RP4-676J13.2,9.205,1.217,1.84,0.0,0.0,0.867
RP11-51G5.1,0.0,0.0,1.84,0.0,0.0,0.0
MRAP2,55.23,55.974,42.316,59.379,63.619,69.394
CEP162,362.677,458.745,373.482,300.074,335.99,303.601
RP1-90L14.1,8.285,14.602,11.039,15.905,12.923,16.481
RP3-526L9.2,0.921,2.434,3.68,6.362,1.988,6.939
TBX18,1562.089,1556.324,1531.644,814.336,850.909,920.343
RP11-132M7.3,7.364,9.735,17.478,3.181,0.0,1.735
RP11-30P6.1,0.0,0.0,0.92,0.0,2.982,0.0
RP11-30P6.2,0.0,0.0,1.84,0.0,1.988,0.0
RP11-30P6.6,11.046,4.867,1.84,14.845,7.952,12.144
RP11-30P6.3,0.0,1.217,1.84,0.0,0.0,0.0
NT5E,7526.012,8360.832,8202.804,4382.357,4094.504,4595.644
RP11-321N4.4,15.649,8.518,2.76,4.241,9.941,9.542
